District,Zone,Geographical Region,Development Region,Project_title,Sector,Amount_thousandsNPR
Kalikot,Karnali,Mountain,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",84557.9
Kalikot,Karnali,Mountain,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",1821.0
Kalikot,Karnali,Mountain,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",11165.0
Kalikot,Karnali,Mountain,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",3500.0
Kalikot,Karnali,Mountain,Mid-Western,National Training Program,"Health, Nutrition and Population",140.0
Kalikot,Karnali,Mountain,Mid-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,2300.0
Kalikot,Karnali,Mountain,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,320.0
Kalikot,Karnali,Mountain,Mid-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,6893.0
Kalikot,Karnali,Mountain,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,263.0
Kalikot,Karnali,Mountain,Mid-Western,Agricultural Extension Program,Farm and Food Security,19400.0
Kalikot,Karnali,Mountain,Mid-Western,Karnali Zone Agriculture Development Project,Farm and Food Security,7500.0
Kalikot,Karnali,Mountain,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,1010.0
Kalikot,Karnali,Mountain,Mid-Western,Soil Test Service Program,Farm and Food Security,1325.0
Kalikot,Karnali,Mountain,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,848.0
Kalikot,Karnali,Mountain,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5153.0
Kalikot,Karnali,Mountain,Mid-Western,Horiculture Development Program,Farm and Food Security,3505.0
Kalikot,Karnali,Mountain,Mid-Western,Livestock Service Extension Program,Farm and Food Security,14575.0
Kalikot,Karnali,Mountain,Mid-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,936.0
Kalikot,Karnali,Mountain,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,161.0
Kanchanpur,Mahakali,Terai,Far-Western,Non-formal Education & National Literacy Campaign,Education,22558.2
Kanchanpur,Mahakali,Terai,Far-Western,School Sector Reform Program,Education,247964.0
Kanchanpur,Mahakali,Terai,Far-Western,Integrated District Health Program,"Health, Nutrition and Population",82911.0
Kanchanpur,Mahakali,Terai,Far-Western,Tuberculosis Control,"Health, Nutrition and Population",2130.0
Kanchanpur,Mahakali,Terai,Far-Western,Ayurveda Service Program,"Health, Nutrition and Population",2670.0
Kanchanpur,Mahakali,Terai,Far-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Kanchanpur,Mahakali,Terai,Far-Western,National Training Program,"Health, Nutrition and Population",160.0
Kanchanpur,Mahakali,Terai,Far-Western,National Forest Development & Management Program,Forest and Land Conservation,9012.0
Kanchanpur,Mahakali,Terai,Far-Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,9682.0
Kanchanpur,Mahakali,Terai,Far-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2297.0
Kanchanpur,Mahakali,Terai,Far-Western,Wildlife Conservation Program,Forest and Land Conservation,29688.0
Kanchanpur,Mahakali,Terai,Far-Western,Agricultural Extension Program,Farm and Food Security,20700.0
Kanchanpur,Mahakali,Terai,Far-Western,Integrated Water Resource Management Project,Farm and Food Security,2218.0
Kanchanpur,Mahakali,Terai,Far-Western,Soil Test Service Program,Farm and Food Security,6727.0
Kanchanpur,Mahakali,Terai,Far-Western,Fishery Development Program,Farm and Food Security,1909.0
Kanchanpur,Mahakali,Terai,Far-Western,Crop Development Program,Farm and Food Security,10814.0
Kanchanpur,Mahakali,Terai,Far-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3068.0
Kanchanpur,Mahakali,Terai,Far-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6431.0
Kanchanpur,Mahakali,Terai,Far-Western,Crop Protection and Pesticide Development,Farm and Food Security,17597.0
Kanchanpur,Mahakali,Terai,Far-Western,Agriculture Extension & Training Program,Farm and Food Security,27498.0
Kanchanpur,Mahakali,Terai,Far-Western,Livestock Service Extension Program,Farm and Food Security,17059.0
Kanchanpur,Mahakali,Terai,Far-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1750.0
Kanchanpur,Mahakali,Terai,Far-Western,Community Livestock Development Project,Farm and Food Security,3538.0
Kanchanpur,Mahakali,Terai,Far-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3095.0
Kanchanpur,Mahakali,Terai,Far-Western,Veterinary Health Service Program,Farm and Food Security,7518.0
Kanchanpur,Mahakali,Terai,Far-Western,Food Nutrition and Technology Program,Farm and Food Security,2231.0
Kapilbastu,Lumbini,Terai,Western,Non-formal Education & National Literacy Campaign,Education,16352.56
Kapilbastu,Lumbini,Terai,Western,School Sector Reform Program,Education,260344.0
Kapilbastu,Lumbini,Terai,Western,Integrated District Health Program,"Health, Nutrition and Population",106059.0
Kapilbastu,Lumbini,Terai,Western,Tuberculosis Control,"Health, Nutrition and Population",3363.0
Kapilbastu,Lumbini,Terai,Western,Ayurveda Service Program,"Health, Nutrition and Population",2865.0
Kapilbastu,Lumbini,Terai,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Kapilbastu,Lumbini,Terai,Western,National Training Program,"Health, Nutrition and Population",120.0
Kapilbastu,Lumbini,Terai,Western,National Forest Development & Management Program,Forest and Land Conservation,4665.0
Kapilbastu,Lumbini,Terai,Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,653.0
Kapilbastu,Lumbini,Terai,Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,34244.0
Kapilbastu,Lumbini,Terai,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,348.0
Kapilbastu,Lumbini,Terai,Western,Agricultural Extension Program,Farm and Food Security,20500.0
Kapilbastu,Lumbini,Terai,Western,Integrated Water Resource Management Project,Farm and Food Security,1837.0
Kapilbastu,Lumbini,Terai,Western,Fishery Development Program,Farm and Food Security,578.0
Kapilbastu,Lumbini,Terai,Western,Crop Development Program,Farm and Food Security,1500.0
Kapilbastu,Lumbini,Terai,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2695.0
Kapilbastu,Lumbini,Terai,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6037.0
Kapilbastu,Lumbini,Terai,Western,Crop Protection and Pesticide Development,Farm and Food Security,3516.0
Kapilbastu,Lumbini,Terai,Western,Livestock Service Extension Program,Farm and Food Security,18072.0
Kapilbastu,Lumbini,Terai,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1100.0
Kapilbastu,Lumbini,Terai,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3361.0
Kapilbastu,Lumbini,Terai,Western,Veterinary Health Service Program,Farm and Food Security,320.0
Kaski,Gandaki,Hill,Western,Non-formal Education & National Literacy Campaign,Education,2265.16
Kaski,Gandaki,Hill,Western,School Sector Reform Program,Education,231979.0
Kaski,Gandaki,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",193006.0
Kaski,Gandaki,Hill,Western,Tuberculosis Control,"Health, Nutrition and Population",2156.0
Kaski,Gandaki,Hill,Western,Ayurveda Service Program,"Health, Nutrition and Population",3035.0
Kaski,Gandaki,Hill,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",5900.0
Kaski,Gandaki,Hill,Western,National Training Program,"Health, Nutrition and Population",250.0
Kaski,Gandaki,Hill,Western,National Forest Development & Management Program,Forest and Land Conservation,5081.0
Kaski,Gandaki,Hill,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3466.0
Kaski,Gandaki,Hill,Western,District Soil Erosion Program,Forest and Land Conservation,9619.0
Kaski,Gandaki,Hill,Western,Community Development and Forest-Watershed Protection Project,Forest and Land Conservation,8595.0
Kaski,Gandaki,Hill,Western,Agricultural Extension Program,Farm and Food Security,24000.0
Kaski,Gandaki,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,1898.0
Kaski,Gandaki,Hill,Western,Soil Test Service Program,Farm and Food Security,9785.0
Kaski,Gandaki,Hill,Western,Sericulture Development Program,Farm and Food Security,6960.0
Kaski,Gandaki,Hill,Western,Fishery Development Program,Farm and Food Security,1269.0
Kaski,Gandaki,Hill,Western,Crop Development Program,Farm and Food Security,1353.0
Kaski,Gandaki,Hill,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2606.0
Kaski,Gandaki,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5391.0
Kaski,Gandaki,Hill,Western,Horiculture Development Program,Farm and Food Security,4511.0
Kaski,Gandaki,Hill,Western,Crop Protection and Pesticide Development,Farm and Food Security,10632.0
Kaski,Gandaki,Hill,Western,Agriculture Extension & Training Program,Farm and Food Security,35163.0
Kaski,Gandaki,Hill,Western,Livestock Service Extension Program,Farm and Food Security,20595.0
Kaski,Gandaki,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,800.0
Kaski,Gandaki,Hill,Western,Livestock Development Farms,Farm and Food Security,45574.0
Kaski,Gandaki,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,49443.0
Kaski,Gandaki,Hill,Western,Livestock Training Program,Farm and Food Security,12146.0
Kaski,Gandaki,Hill,Western,Veterinary Health Service Program,Farm and Food Security,8878.0
Kathmandu,Bagmati,Hill,Central,Non-formal Education & National Literacy Campaign,Education,12079.35
Kathmandu,Bagmati,Hill,Central,School Sector Reform Program,Education,371575.0
Kathmandu,Bagmati,Hill,Central,Integrated District Health Program,"Health, Nutrition and Population",256391.0
Kathmandu,Bagmati,Hill,Central,Tuberculosis Control,"Health, Nutrition and Population",3244.0
Kathmandu,Bagmati,Hill,Central,Ayurveda Service Program,"Health, Nutrition and Population",5435.0
Kathmandu,Bagmati,Hill,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",5500.0
Kathmandu,Bagmati,Hill,Central,National Training Program,"Health, Nutrition and Population",250.0
Kathmandu,Bagmati,Hill,Central,National Forest Development & Management Program,Forest and Land Conservation,871.0
Kathmandu,Bagmati,Hill,Central,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,329.0
Kathmandu,Bagmati,Hill,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3170.0
Kathmandu,Bagmati,Hill,Central,District Soil Erosion Program,Forest and Land Conservation,11938.0
Kathmandu,Bagmati,Hill,Central,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,2658.0
Kathmandu,Bagmati,Hill,Central,Botanical Study & Research Program,Forest and Land Conservation,9373.0
Kathmandu,Bagmati,Hill,Central,Botanical Conservation & Park Development Project,Forest and Land Conservation,43372.0
Kathmandu,Bagmati,Hill,Central,Botanical Utilization & Marketing Program,Forest and Land Conservation,5853.0
Kathmandu,Bagmati,Hill,Central,Nepal Trade Interpretation Strategy - Forestry,Forest and Land Conservation,23110.0
Kathmandu,Bagmati,Hill,Central,Wildlife Conservation Project,Forest and Land Conservation,19055.0
Kathmandu,Bagmati,Hill,Central,Agricultural Extension Program,Farm and Food Security,22450.0
Kathmandu,Bagmati,Hill,Central,Soil Test Service Program,Farm and Food Security,530.0
Kathmandu,Bagmati,Hill,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4461.0
Kathmandu,Bagmati,Hill,Central,Horiculture Development Program,Farm and Food Security,27250.0
Kathmandu,Bagmati,Hill,Central,Crop Protection and Pesticide Development,Farm and Food Security,2849.0
Kathmandu,Bagmati,Hill,Central,Livestock Service Extension Program,Farm and Food Security,16809.0
Kathmandu,Bagmati,Hill,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1550.0
Kathmandu,Bagmati,Hill,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,2917.0
Kathmandu,Bagmati,Hill,Central,Veterinary Health Service Program,Farm and Food Security,8301.0
Kavre,Bagmati,Hill,Central,Non-formal Education & National Literacy Campaign,Education,24740.24
Kavre,Bagmati,Hill,Central,School Sector Reform Program,Education,290282.0
Kavre,Bagmati,Hill,Central,Integrated District Health Program,"Health, Nutrition and Population",119566.0
Kavre,Bagmati,Hill,Central,Tuberculosis Control,"Health, Nutrition and Population",2213.0
Kavre,Bagmati,Hill,Central,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Kavre,Bagmati,Hill,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",4600.0
Kavre,Bagmati,Hill,Central,National Training Program,"Health, Nutrition and Population",150.0
Kavre,Bagmati,Hill,Central,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,3361.0
Kavre,Bagmati,Hill,Central,National Forest Development & Management Program,Forest and Land Conservation,280.0
Kavre,Bagmati,Hill,Central,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2999.0
Kavre,Bagmati,Hill,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3424.0
Kavre,Bagmati,Hill,Central,District Soil Erosion Program,Forest and Land Conservation,8148.0
Kavre,Bagmati,Hill,Central,Community Development and Forest-Watershed Protection Project,Forest and Land Conservation,8205.0
Kavre,Bagmati,Hill,Central,Agricultural Extension Program,Farm and Food Security,19750.0
Kavre,Bagmati,Hill,Central,Soil Test Service Program,Farm and Food Security,1855.0
Kavre,Bagmati,Hill,Central,Sericulture Development Program,Farm and Food Security,15386.0
Kavre,Bagmati,Hill,Central,Fishery Development Program,Farm and Food Security,705.0
Kavre,Bagmati,Hill,Central,Crop Development Program,Farm and Food Security,2152.0
Kavre,Bagmati,Hill,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,22731.0
Kavre,Bagmati,Hill,Central,Horiculture Development Program,Farm and Food Security,575.0
